e_t,e,e_d,s_t,s,s_d
469,2424.37915,-1.77065,579,2234.52235,-1.69435
469.996442,2422.6148,0,580,2232.835,-1.69365
470,2422.6148,-1.76995,581,2231.14835,-1.69295
470.9964406,2420.85115,0,582,2229.4624,-1.69225
471,2420.85115,-1.76925,583,2227.77715,-1.69155
471.9964392,2419.0882,0,584,2226.0926,-1.69085
472,2419.0882,-1.76855,585,2224.40875,-1.69015
472.9964378,2417.32595,0,586,2222.7256,-1.68945
473,2417.32595,-1.76785,587,2221.04315,-1.68875
473.9964363,2415.5644,0,588,2219.3614,-1.68805
474,2415.5644,-1.76715,589,2217.68035,-1.68735
474.9964349,2413.80355,0,590,2216,-1.68665
475,2413.80355,-1.76645,591,2214.32035,-1.68595
475.9964335,2412.0434,0,592,2212.6414,-1.68525
476,2412.0434,-1.76575,593,2210.96315,-1.68455
476.9964321,2410.28395,0,594,2209.2856,-1.68385
477,2410.28395,-1.76505,595,2207.60875,-1.68315
477.9964307,2408.5252,0,596,2205.9326,-1.68245
478,2408.5252,-1.76435,597,2204.25715,-1.68175
478.9964293,2406.76715,0,598,2202.5824,-1.68105
479,2406.76715,-1.76365,599,2200.90835,-1.68035
479.9964279,2405.0098,0,600,2199.235,-1.67965
480,2405.0098,-1.76295,601,2197.56235,-1.67895
480.9964264,2403.25315,0,602,2195.8904,-1.67825
481,2403.25315,-1.76225,603,2194.21915,-1.67755
481.996425,2401.4972,0,604,2192.5486,-1.67685
482,2401.4972,-1.76155,605,2190.87875,-1.67615
482.9964236,2399.74195,0,606,2189.2096,-1.67545
483,2399.74195,-1.76085,607,2187.54115,-1.67475
483.9964222,2397.9874,0,608,2185.8734,-1.67405
484,2397.9874,-1.76015,609,2184.20635,-1.67335
484.9964208,2396.23355,0,610,2182.54,-1.67265
