s_t,s,s_d
612.0,8378.0,-2.516249999998763
613.0,8377.0,-2.5159499999990658
614.0,8376.0,-2.5156500000011874
615.0,8375.0,-2.515349999999671
616.0,8374.0,-2.515049999999974
617.0,8373.0,-2.5147500000002765
618.0,8372.0,-2.51444999999876
619.0,8371.0,-2.514150000000882
620.0,8370.0,-2.5138499999993655
621.0,8369.0,-2.513549999999668
622.0,8368.0,-2.513249999999971
623.0,8367.0,-2.5129500000002736
624.0,8366.0,-2.5126500000023952
625.0,8365.0,-2.51234999999906
626.0,8364.0,-2.5120499999993626
627.0,8363.0,-2.5117500000014843
628.0,8362.0,-2.511449999999968
629.0,8361.0,-2.5111499999984517
630.0,8360.0,-2.5108500000005733
631.0,8359.0,-2.510550000000876
632.0,8358.0,-2.5102499999975407
633.0,8357.0,-2.5099500000014814
634.0,8356.0,-2.509649999999965
635.0,8355.0,-2.5093500000002678
636.0,8354.0,-2.5090499999987514
637.0,8353.0,-2.508750000000873
638.0,8352.0,-2.508450000001176
639.0,8351.0,-2.5081499999978405
640.0,8350.0,-2.507849999999962
641.0,8349.0,-2.507550000002084
642.0,8348.0,-2.5072499999987485
643.0,8347.0,-2.506949999999051
644.0,8346.0,-2.506650000001173
645.0,8345.0,-2.5063499999996566
646.0,8344.0,-2.5060499999999593
647.0,8343.0,-2.505750000000262
648.0,8342.0,-2.5054499999987456
649.0,8341.0,-2.5051500000026863
650.0,8340.0,-2.504849999997532
651.0,8339.0,-2.5045500000014727
652.0,8338.0,-2.5042499999999563
653.0,8337.0,-2.50394999999844
654.0,8336.0,-2.5036500000023807
655.0,8335.0,-2.5033499999990454
656.0,8334.0,-2.503050000001167
657.0,8333.0,-2.5027499999978318
658.0,8332.0,-2.5024499999999534
659.0,8331.0,-2.502150000002075
660.0,8330.0,-2.50184999999874
661.0,8329.0,-2.5015499999990425
662.0,8328.0,-2.501250000001164
663.0,8327.0,-2.500949999999648
664.0,8326.0,-2.5006499999999505
665.0,8325.0,-2.500350000000253
666.0,8324.0,-2.500049999998737
667.0,8323.0,-2.4997500000008586
668.0,8322.0,-2.4994499999993423
669.0,8321.0,-2.499150000001464
670.0,8320.0,-2.4988499999999476
671.0,8319.0,-2.4985499999984313
672.0,8318.0,-2.498250000002372
673.0,8317.0,-2.4979499999990367
674.0,8316.0,-2.4976500000011583
675.0,8315.0,-2.497349999997823
676.0,8314.0,-2.4970499999999447
677.0,8313.0,-2.4967500000020664
678.0,8312.0,-2.496449999998731
679.0,8311.0,-2.4961499999990338
680.0,8310.0,-2.4958500000011554
681.0,8309.0,-2.495549999999639
682.0,8308.0,-2.495249999999942
683.0,8307.0,-2.4949500000002445
684.0,8306.0,-2.494649999998728
685.0,8305.0,-2.494350000002669
686.0,8304.0,-2.4940499999975145
687.0,8303.0,-2.493750000001455
688.0,8302.0,-2.493449999999939
689.0,8301.0,-2.4931499999984226
690.0,8300.0,-2.4928500000005442
691.0,8299.0,-2.492550000000847
692.0,8298.0,-2.4922500000011496
693.0,8297.0,-2.4919499999978143
694.0,8296.0,-2.491649999999936
695.0,8295.0,-2.4913500000002387
696.0,8294.0,-2.4910500000005413
697.0,8293.0,-2.490749999999025
698.0,8292.0,-2.4904500000011467
699.0,8291.0,-2.4901499999996304
700.0,8290.0,-2.489850000001752
701.0,8289.0,-2.4895499999984168
702.0,8288.0,-2.4892500000005384
703.0,8287.0,-2.488950000000841
704.0,8286.0,-2.488649999999325
705.0,8285.0,-2.4883499999996275
706.0,8284.0,-2.48804999999993
707.0,8283.0,-2.487750000000233
708.0,8282.0,-2.4874499999987165
709.0,8281.0,-2.487150000000838
710.0,8280.0,-2.486849999999322
711.0,8279.0,-2.4865499999996246
712.0,8278.0,-2.4862499999999272
713.0,8277.0,-2.48595000000023
714.0,8276.0,-2.4856500000023516
715.0,8275.0,-2.4853499999990163
716.0,8274.0,-2.485049999999319
717.0,8273.0,-2.4847499999996217
718.0,8272.0,-2.4844499999999243
719.0,8271.0,-2.484150000002046
720.0,8270.0,-2.4838499999987107
721.0,8269.0,-2.4835499999990134
722.0,8268.0,-2.483250000001135
723.0,8267.0,-2.4829499999996187
724.0,8266.0,-2.4826499999999214
725.0,8265.0,-2.482350000000224
726.0,8264.0,-2.482050000000527
727.0,8263.0,-2.4817500000008295
728.0,8262.0,-2.481449999999313
729.0,8261.0,-2.481149999999616
730.0,8260.0,-2.4808499999999185
731.0,8259.0,-2.480550000000221
732.0,8258.0,-2.480249999998705
733.0,8257.0,-2.4799500000008265
734.0,8256.0,-2.4796499999993102
735.0,8255.0,-2.479349999999613
736.0,8254.0,-2.4790500000017346
737.0,8253.0,-2.4787499999983993
738.0,8252.0,-2.47845000000234
739.0,8251.0,-2.4781499999990046
740.0,8250.0,-2.4778500000011263
741.0,8249.0,-2.477549999997791
742.0,8248.0,-2.4772499999999127
743.0,8247.0,-2.4769500000002154
744.0,8246.0,-2.476650000000518
745.0,8245.0,-2.4763499999990017
746.0,8244.0,-2.4760500000011234
747.0,8243.0,-2.475750000001426
748.0,8242.0,-2.47544999999991
749.0,8241.0,-2.4751499999983935
750.0,8240.0,-2.474850000000515
751.0,8239.0,-2.474549999998999
752.0,8238.0,-2.4742500000011205
753.0,8237.0,-2.473949999999604
754.0,8236.0,-2.473649999999907
755.0,8235.0,-2.4733500000002095
756.0,8234.0,-2.4730500000005122
757.0,8233.0,-2.472750000000815
758.0,8232.0,-2.4724499999974796
759.0,8231.0,-2.4721500000014203
760.0,8230.0,-2.471849999999904
761.0,8229.0,-2.4715500000002066
762.0,8228.0,-2.4712499999986903
763.0,8227.0,-2.470950000000812
764.0,8226.0,-2.4706499999992957
765.0,8225.0,-2.4703500000014174
766.0,8224.0,-2.470049999999901
767.0,8223.0,-2.4697499999983847
768.0,8222.0,-2.4694500000041444
769.0,8221.0,-2.469149999997171
770.0,8220.0,-2.4688500000011118
771.0,8219.0,-2.4685499999977765
772.0,8218.0,-2.468249999999898
773.0,8217.0,-2.467950000000201
774.0,8216.0,-2.4676500000005035
775.0,8215.0,-2.467350000000806
776.0,8214.0,-2.46704999999929
777.0,8213.0,-2.4667500000032305
778.0,8212.0,-2.4664499999962572
779.0,8211.0,-2.466150000002017
780.0,8210.0,-2.4658499999986816
781.0,8209.0,-2.4655499999989843
782.0,8208.0,-2.465250000001106
783.0,8207.0,-2.4649500000014086
784.0,8206.0,-2.4646499999998923
785.0,8205.0,-2.464349999998376
786.0,8204.0,-2.4640500000004977
787.0,8203.0,-2.4637499999989814
788.0,8202.0,-2.463450000001103
789.0,8201.0,-2.4631499999995867
790.0,8200.0,-2.4628499999998894
791.0,8199.0,-2.462550000000192
792.0,8198.0,-2.4622500000004948
793.0,8197.0,-2.4619500000007974
794.0,8196.0,-2.461649999999281
795.0,8195.0,-2.461349999999584
796.0,8194.0,-2.4610499999998865
797.0,8193.0,-2.460750000000189
798.0,8192.0,-2.460449999998673
799.0,8191.0,-2.4601500000007945
800.0,8190.0,-2.4598499999992782
801.0,8189.0,-2.4595500000014
802.0,8188.0,-2.4592499999998836
803.0,8187.0,-2.4589500000001863
804.0,8186.0,-2.45864999999867
805.0,8185.0,-2.4583500000007916
806.0,8184.0,-2.4580499999992753
807.0,8183.0,-2.457750000001397
808.0,8182.0,-2.4574499999998807
809.0,8181.0,-2.4571499999983644
810.0,8180.0,-2.456850000000486
811.0,8179.0,-2.4565500000007887
812.0,8178.0,-2.4562499999992724
813.0,8177.0,-2.455949999999575
814.0,8176.0,-2.4556499999998778
815.0,8175.0,-2.4553500000001804
816.0,8174.0,-2.455050000002302
817.0,8173.0,-2.454749999998967
818.0,8172.0,-2.4544500000010885
819.0,8171.0,-2.454149999997753
820.0,8170.0,-2.453849999999875
821.0,8169.0,-2.4535500000001775
822.0,8168.0,-2.453250000002299
823.0,8167.0,-2.452949999998964
824.0,8166.0,-2.4526499999992666
825.0,8165.0,-2.4523499999995693
826.0,8164.0,-2.452049999999872
827.0,8163.0,-2.4517500000001746
828.0,8162.0,-2.4514500000004773
829.0,8161.0,-2.45115000000078
830.0,8160.0,-2.4508499999992637
831.0,8159.0,-2.4505500000032043
832.0,8158.0,-2.450249999996231
833.0,8157.0,-2.4499500000019907
834.0,8156.0,-2.4496499999986554
835.0,8155.0,-2.449349999998958
836.0,8154.0,-2.4490500000010798
837.0,8153.0,-2.4487500000013824
838.0,8152.0,-2.448450000001685
839.0,8151.0,-2.44814999999835
840.0,8150.0,-2.4478499999986525
841.0,8149.0,-2.447549999998955
842.0,8148.0,-2.447250000001077
843.0,8147.0,-2.4469500000013795
844.0,8146.0,-2.446649999999863
845.0,8145.0,-2.446350000000166
846.0,8144.0,-2.4460499999986496
847.0,8143.0,-2.4457499999989523
848.0,8142.0,-2.445450000001074
849.0,8141.0,-2.4451499999995576
850.0,8140.0,-2.4448500000016793
851.0,8139.0,-2.444549999998344
852.0,8138.0,-2.4442500000004657
853.0,8137.0,-2.4439499999989494
854.0,8136.0,-2.443650000001071
855.0,8135.0,-2.4433499999995547
856.0,8134.0,-2.4430500000016764
857.0,8133.0,-2.442749999998341
858.0,8132.0,-2.4424500000004628
859.0,8131.0,-2.4421499999989464
860.0,8130.0,-2.441850000001068
861.0,8129.0,-2.441549999999552
862.0,8128.0,-2.4412499999998545
863.0,8127.0,-2.440950000000157
864.0,8126.0,-2.44065000000046
865.0,8125.0,-2.4403499999989435
866.0,8124.0,-2.440050000001065
867.0,8123.0,-2.439749999999549
868.0,8122.0,-2.4394499999998516
869.0,8121.0,-2.4391500000001543
870.0,8120.0,-2.438850000000457
871.0,8119.0,-2.4385499999989406
872.0,8118.0,-2.4382500000010623
873.0,8117.0,-2.437949999999546
874.0,8116.0,-2.4376499999998487
875.0,8115.0,-2.4373500000001513
876.0,8114.0,-2.437050000000454
877.0,8113.0,-2.4367499999989377
878.0,8112.0,-2.4364500000010594
879.0,8111.0,-2.436149999999543
880.0,8110.0,-2.4358499999998457
881.0,8109.0,-2.4355500000001484
882.0,8108.0,-2.435250000000451
883.0,8107.0,-2.434949999998935
884.0,8106.0,-2.4346500000010565
885.0,8105.0,-2.43434999999954
886.0,8104.0,-2.434049999999843
887.0,8103.0,-2.4337500000001455
888.0,8102.0,-2.433450000000448
889.0,8101.0,-2.433149999998932
890.0,8100.0,-2.4328500000010536
891.0,8099.0,-2.4325499999995372
892.0,8098.0,-2.432250000001659
893.0,8097.0,-2.4319499999983236
894.0,8096.0,-2.4316500000004453
895.0,8095.0,-2.431349999998929
896.0,8094.0,-2.4310500000010506
897.0,8093.0,-2.4307499999995343
898.0,8092.0,-2.430450000001656
899.0,8091.0,-2.4301499999983207
900.0,8090.0,-2.4298500000004424
901.0,8089.0,-2.429549999998926
902.0,8088.0,-2.4292500000010477
903.0,8087.0,-2.4289500000013504
904.0,8086.0,-2.428649999999834
905.0,8085.0,-2.428350000000137
906.0,8084.0,-2.4280499999986205
907.0,8083.0,-2.427749999998923
908.0,8082.0,-2.427450000001045
909.0,8081.0,-2.4271500000013475
910.0,8080.0,-2.42685000000165
911.0,8079.0,-2.426549999998315
912.0,8078.0,-2.4262499999986176
913.0,8077.0,-2.4259499999989202
914.0,8076.0,-2.425650000001042
915.0,8075.0,-2.4253500000013446
916.0,8074.0,-2.4250499999980093
917.0,8073.0,-2.424750000003769
918.0,8072.0,-2.4244499999967957
919.0,8071.0,-2.4241500000007363
920.0,8070.0,-2.42384999999922
921.0,8069.0,-2.4235499999995227
922.0,8068.0,-2.4232499999998254
923.0,8067.0,-2.422950000000128
924.0,8066.0,-2.4226500000004307
925.0,8065.0,-2.4223500000007334
926.0,8064.0,-2.422049999999217
927.0,8063.0,-2.42174999999952
928.0,8062.0,-2.4214499999998225
929.0,8061.0,-2.421150000000125
